Video ID,YouTube Link,Language(s),Category,Notes
TZARpmaZc-8,https://www.youtube.com/watch?v=TZARpmaZc-8,Korean,TV Program,
wYDkAP_JuTM,https://www.youtube.com/watch?v=wYDkAP_JuTM,Korean,TV Program,
igPe6WYOll0,https://www.youtube.com/watch?v=igPe6WYOll0,Korean,TV Program,"quiz show 우리말겨루기 -verbal(kor,eng),kor spoken by non korean"
nqvqg4FqK8g,https://www.youtube.com/watch?v=nqvqg4FqK8g,Korean,TV Program,
u8p7VwMx8J4,https://www.youtube.com/watch?v=u8p7VwMx8J4,Korean,TV Program,
BF6JeWnoWSc,https://www.youtube.com/watch?v=BF6JeWnoWSc,Korean,TV Program,"quiz show도전골든벨,verbal(kor)"
PQmVEVAK9zM,https://www.youtube.com/watch?v=PQmVEVAK9zM,Korean,TV Program,
rJhU0-nmeNk,https://www.youtube.com/watch?v=rJhU0-nmeNk,Korean,TV Program,
YSXyDhs4kZE,https://www.youtube.com/watch?v=YSXyDhs4kZE,Korean,TV Program,"quiz show 1대100,verbal(kor)"
jaU3gAAWCoY,https://www.youtube.com/watch?v=jaU3gAAWCoY,Korean,TV Program,
6G7c95xhWB4,https://www.youtube.com/watch?v=6G7c95xhWB4,English,TV Program,"quiz show,verbal(eng)"
yI2zUJ7RA0A,https://www.youtube.com/watch?v=yI2zUJ7RA0A,English,TV Program,
BsfrUYhx5zM,https://www.youtube.com/watch?v=BsfrUYhx5zM,English,TV Program,
cpt1owM0eag,https://www.youtube.com/watch?v=cpt1owM0eag,English,TV Program,
3tfbjJKsqC4,https://www.youtube.com/watch?v=3tfbjJKsqC4,English,TV Program,
B1btDufygt8,https://www.youtube.com/watch?v=B1btDufygt8,Non-Verbal,Other,"just showing cats,non verbal"
ET0rV79uFDQ,https://www.youtube.com/watch?v=ET0rV79uFDQ,Non-Verbal,Other,
_yhs80dIzdQ,https://www.youtube.com/watch?v=_yhs80dIzdQ,Non-Verbal,Other,
phLb8LDDE3k,https://www.youtube.com/watch?v=phLb8LDDE3k,Non-Verbal,Other,
hiaGO-v0htE,https://www.youtube.com/watch?v=hiaGO-v0htE,Non-Verbal,Other,
0xj6nj35ugk,https://www.youtube.com/watch?v=0xj6nj35ugk,Korean,Other,"dogs,verbal(kor)"
ts7xa3UPBWc,https://www.youtube.com/watch?v=ts7xa3UPBWc,Korean,TV Program,"동물농장(verbal,kor)"
mULvGLOKVCA,https://www.youtube.com/watch?v=mULvGLOKVCA,Korean,TV Program,
hx034LtweHg,https://www.youtube.com/watch?v=hx034LtweHg,Korean,TV Program,
KKP9OCM0LQo,https://www.youtube.com/watch?v=KKP9OCM0LQo,Korean,TV Program,
LYQ0aotOKk0,https://www.youtube.com/watch?v=LYQ0aotOKk0,Korean,TV Program,
sslTQTBgZ_g,https://www.youtube.com/watch?v=sslTQTBgZ_g,Korean,TV Program,"talk show놀러와(verbal,kor)"
5Jsttt0wvho,https://www.youtube.com/watch?v=5Jsttt0wvho,Korean,TV Program,
l_g0_b5V8OI,https://www.youtube.com/watch?v=l_g0_b5V8OI,Korean,TV Program,
QWy0ixmXBrM,https://www.youtube.com/watch?v=QWy0ixmXBrM,Korean,TV Program,"talk show라디오스타(Verbal,kor)"
5ohUdBo-W5Q,https://www.youtube.com/watch?v=5ohUdBo-W5Q,Korean,TV Program,
21eUF4bMiak,https://www.youtube.com/watch?v=21eUF4bMiak,Korean,TV Program,
LHoOyR8ZW44,https://www.youtube.com/watch?v=LHoOyR8ZW44,Korean,TV Program,
7CfYpZCHJQw,https://www.youtube.com/watch?v=7CfYpZCHJQw,English,TV Program,"talk show(conan o'brien), verbal(eng)"
lJEBgB3j9eo,https://www.youtube.com/watch?v=lJEBgB3j9eo,English,TV Program,
RWf2P9pdoBI,https://www.youtube.com/watch?v=RWf2P9pdoBI,English,TV Program,
qqbBTwWLUWA,https://www.youtube.com/watch?v=qqbBTwWLUWA,English,TV Program,
Gx1B0Fkc51U,https://www.youtube.com/watch?v=Gx1B0Fkc51U,English,TV Program,
sCwL0tgGBSc,https://www.youtube.com/watch?v=sCwL0tgGBSc,English,TV Program,"Oprah Winfrey Show,verbal(eng)"
Ko6l8hEXKPs,https://www.youtube.com/watch?v=Ko6l8hEXKPs,English,TV Program,
ahGhutXb7Hs,https://www.youtube.com/watch?v=ahGhutXb7Hs,English,TV Program,
KEEUofzs9uc,https://www.youtube.com/watch?v=KEEUofzs9uc,English,TV Program,
KiBS-dbv_x0,https://www.youtube.com/watch?v=KiBS-dbv_x0,English,TV Program,"Ellen show,verbal(Eng)"
TMAMVLcy_t8,https://www.youtube.com/watch?v=TMAMVLcy_t8,English,TV Program,
f5NJQiY9AuY,https://www.youtube.com/watch?v=f5NJQiY9AuY,English,TV Program,
BuB2ikFqUyQ,https://www.youtube.com/watch?v=BuB2ikFqUyQ,English,TV Program,"the x factor,verbal(eng)"
H7YRRaOgpUk,https://www.youtube.com/watch?v=H7YRRaOgpUk,English,TV Program,
rrNbLBS1D2Q,https://www.youtube.com/watch?v=rrNbLBS1D2Q,English,TV Program,
Ra_iiSIn4OI,https://www.youtube.com/watch?v=Ra_iiSIn4OI,English,TV Program,
Bsi_7VeP8u0,https://www.youtube.com/watch?v=Bsi_7VeP8u0,English,TV Program,"america's got talent,verbal(Eng)"
yHdIcqI7wG4,https://www.youtube.com/watch?v=yHdIcqI7wG4,English,TV Program,
sINQRbbxToo,https://www.youtube.com/watch?v=sINQRbbxToo,English,TV Program,
EiV3XW5J1ao,https://www.youtube.com/watch?v=EiV3XW5J1ao,English,TV Program,
MaJEUOI3KlY,https://www.youtube.com/watch?v=MaJEUOI3KlY,English,TV Program,"the voice,verbal(Eng)"
LqK2Tmt2S4g,https://www.youtube.com/watch?v=LqK2Tmt2S4g,English,TV Program,
Qd7MYkN5JBk,https://www.youtube.com/watch?v=Qd7MYkN5JBk,English,TV Program,
CK8FVTcckWc,https://www.youtube.com/watch?v=CK8FVTcckWc,Korean,TV Program,"슈퍼스타K,verbal(kor)"
CH6IfwnO8a8,https://www.youtube.com/watch?v=CH6IfwnO8a8,Korean,TV Program,
91KtQ6UkAMM,https://www.youtube.com/watch?v=91KtQ6UkAMM,Korean,TV Program,
RLHR44HUm6c,https://www.youtube.com/watch?v=RLHR44HUm6c,Korean,TV Program,
#NAME?,https://www.youtube.com/watch?v=-OBNH4V1Gv4,"Korean,English",TV Program,"MAMA stage,verbal"
F7lPWLr-rJI,https://www.youtube.com/watch?v=F7lPWLr-rJI,"Korean,English",TV Program,"프듀idol survival show,verbal(kor,eng)"
NIld_iEc67s,https://www.youtube.com/watch?v=NIld_iEc67s,"Korean,English",TV Program,
wsP8LIHMNOI,https://www.youtube.com/watch?v=wsP8LIHMNOI,"Korean,English",TV Program,
10PxlB37_bc,https://www.youtube.com/watch?v=10PxlB37_bc,"Korean,English",TV Program,
Ee6ejnDQtCk,https://www.youtube.com/watch?v=Ee6ejnDQtCk,Korean,TV Program,
gFnJe9mF5KE,https://www.youtube.com/watch?v=gFnJe9mF5KE,Korean,TV Program,
0tUukiV45GA,https://www.youtube.com/watch?v=0tUukiV45GA,Korean,TV Program,
Mjr47ikehQE,https://www.youtube.com/watch?v=Mjr47ikehQE,"Korean,English",TV Program,"보플(idol survival show),verbal(kor,eng)"
5z1DugfqFmA,https://www.youtube.com/watch?v=5z1DugfqFmA,"Korean,English",TV Program,
rodVFgb6j-s,https://www.youtube.com/watch?v=rodVFgb6j-s,Korean,TV Program,
ndAQFk2n5g0,https://www.youtube.com/watch?v=ndAQFk2n5g0,"Korean,English",TV Program,
vyZ17ZcdNd8,https://www.youtube.com/watch?v=vyZ17ZcdNd8,"Korean,English",TV Program,"아이랜드(idol survival show),verbal(kor,eng)"
2fLi90nA0ro,https://www.youtube.com/watch?v=2fLi90nA0ro,"Korean,English",TV Program,
NE8Vr2dfuHs,https://www.youtube.com/watch?v=NE8Vr2dfuHs,Korean,TV Program,
k3SUT-M2Frg,https://www.youtube.com/watch?v=k3SUT-M2Frg,Korean,TV Program,
OYfggkpmt8E,https://www.youtube.com/watch?v=OYfggkpmt8E,Korean,TV Program,
q0s8gxXrWF4,https://www.youtube.com/watch?v=q0s8gxXrWF4,"Korean,English",TV Program,
oBLmGCdeF64,https://www.youtube.com/watch?v=oBLmGCdeF64,"Korean,English",TV Program,
M8ZcmNOLK5w,https://www.youtube.com/watch?v=M8ZcmNOLK5w,Korean,Debate,"대선 토론(debate),verbal(kor)"
eZwHC7G1WNY,https://www.youtube.com/watch?v=eZwHC7G1WNY,Korean,Debate,
fS-Ma9f6NJ0,https://www.youtube.com/watch?v=fS-Ma9f6NJ0,Korean,Debate,
UYfGxFArwDk,https://www.youtube.com/watch?v=UYfGxFArwDk,Korean,Debate,
LtxnDIR4yz4,https://www.youtube.com/watch?v=LtxnDIR4yz4,Korean,Debate,"신년토론(debate),verbal(kor)"
Oszs6fjCgk4,https://www.youtube.com/watch?v=Oszs6fjCgk4,Korean,Debate,
